1984 | George Orwell | Distopia | 320 | Lido
A Mao Esquerda Da Escuridao | Ursula Le Guin | Scifi | 320 | Lido
As Cronicas De Narnia | Cs Lewis | Fantasia | 500 | Abandonado
Blade Runner | Philiph Kindred Dick | Scifi | 304 | Lido
Daisy Jones And The Six | Taylor Jk | Ficcao | 300 | Lido
Eu, Robo | Asimov | Scifi | 300 | Lido
Fundacao | Asimov | Scifi | 350 | Lido
Fundacao E Imperio | Asimov | Scifi | 300 | Lido
Mulheres, Mitos E Deusas | Martha Robles | Nao Ficcao | 400 | Lido
Noites Brancas | Dostoievski | Romance | 200 | Lido
O Homem Do Castelo Alto | Philiph Kindred Dick | Scifi | 1304 | Lido
O Tempo Em Marte | Philiph Kindred Dick | Scifi | 300 | Quero Ler
Os 7 Maridos De Elevyn Hugo | Taylor Jk | Ficcao | 340 | Lido
Os Despossuidos | Ursula Le Guin | Scifi | 320 | Quero Ler
Perifericos | William Gibson | Scifi | 520 | Quero Ler
Planeta Dos Macacos | Pierre Boulle | Scifi | 250 | Lido
Psicose | Roberth Bloch | Suspense | 250 | Lido
Segunda Fundacao | Asimov | Scifi | 300 | Lido
Ubik | Philiph Kindred Dick | Scifi | 300 | Lido
Verity | Colleen Hoover | Suspense | 300 | Lido
Vilao | Ve Schwab | Fantasia | 300 | Lido
